SoyFrancisco España me dispongo a pimplar cerveza
SoyFrancisco España me dispongo a pimplar cerveza
SoyFrancisco España me dispongo a pimplar cerveza
SoyFrancisco España me dispongo a pimplar cerveza
Francisco España se ha bebido un vaso. Lleva bebidos 0.3 cl, y su tasa de alcoholemia UBE es de : 0.0010800001
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 0.6 cl, y su tasa de alcoholemia UBE es de : 0.0021600001
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 0.90000004 cl, y su tasa de alcoholemia UBE es de : 0.0032400002
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 1.2 cl, y su tasa de alcoholemia UBE es de : 0.0043200003
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 1.5 cl, y su tasa de alcoholemia UBE es de : 0.0054
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 1.8 cl, y su tasa de alcoholemia UBE es de : 0.0064799995
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 2.1 cl, y su tasa de alcoholemia UBE es de : 0.00756
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 2.3999999 cl, y su tasa de alcoholemia UBE es de : 0.00864
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 2.6999998 cl, y su tasa de alcoholemia UBE es de : 0.00972
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 2.9999998 cl, y su tasa de alcoholemia UBE es de : 0.010799999
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 3.2999997 cl, y su tasa de alcoholemia UBE es de : 0.011879999
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 3.5999997 cl, y su tasa de alcoholemia UBE es de : 0.012959999
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 3.8999996 cl, y su tasa de alcoholemia UBE es de : 0.01404
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 4.2 cl, y su tasa de alcoholemia UBE es de : 0.01512
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 4.5 cl, y su tasa de alcoholemia UBE es de : 0.0162
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 4.8 cl, y su tasa de alcoholemia UBE es de : 0.017280001
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 5.1000004 cl, y su tasa de alcoholemia UBE es de : 0.01836
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 5.4000006 cl, y su tasa de alcoholemia UBE es de : 0.019440003
Francisco España se ha terminado su vaso, va a por otro.
Francisco España se ha bebido un vaso. Lleva bebidos 5.700001 cl, y su tasa de alcoholemia UBE es de : 0.020520002
Francisco España se ha terminado su vaso, va a por otro.
SoyFrancisco España me dispongo a pimplar cerveza
Francisco España se ha bebido un vaso. Lleva bebidos 0.3 l, y su tasa de alcoholemia UBE es de : 0.0108 En el barril quedan 24.900013 l
